data point ID,annotator ID,label,original_text
1706,adjudicated,1,"So I was privileged to train in transplantation under two great surgical pioneers: Thomas Starzl, who performed the world's first successful liver transplant in 1967, and Sir Roy Calne, who performed the first liver transplant in the U.K. in the following year. I returned to Singapore and, in 1990, performed Asia's first successful cadaveric liver transplant procedure, but against all odds. Now when I look back, the transplant was actually the easiest part. Next, raising the money to fund the procedure. But perhaps the most challenging part was to convince the regulators — a matter which was debated in the"
1594,adjudicated,2,"So I'm going to talk about work; specifically, why people can't seem to get work done at work, which is a problem we all kind of have. But let's sort of start at the beginning.So, we have companies and non-profits and charities and all these groups that have employees or volunteers of some sort. And they expect these people who work for them to do great work — I would hope, at least. At least good work, hopefully, at least it's good work — hopefully great work. And so what they typically do is they decide that all these people"
2729,adjudicated,2,"Hi. I'm going to talk to you today about laughter, and I just want to start by thinking about the first time I can ever remember noticing laughter. This is when I was a little girl. I would've been about six. And I came across my parents doing something unusual, where they were laughing. They were laughing very, very hard. They were lying on the floor laughing. They were screaming with laughter. I did not know what they were laughing at, but I wanted in. I wanted to be part of that, and I kind of sat around at the"
2185,adjudicated,1,"Across Europe and Central Asia, approximately one million children live in large residential institutions, usually known as orphanages. Most people imagine orphanages as a benign environment that care for children. Others know more about the living conditions there, but still think they're a necessary evil. After all, where else would we put all of those children who don't have any parents?But 60 years of research has demonstrated that separating children from their families and placing them in large institutions seriously harms their health and development, and this is particularly true for young babies. As we know, babies are born without"
2407,adjudicated,1,"Three years ago, I was standing about a hundred yards from Chernobyl nuclear reactor number four. My Geiger counter dosimeter, which measures radiation, was going berserk, and the closer I got, the more frenetic it became, and frantic. My God.I was there covering the 25th anniversary of the world's worst nuclear accident, as you can see by the look on my face, reluctantly so, but with good reason, because the nuclear fire that burned for 11 days back in 1986 released 400 times as much radiation as the bomb dropped on Hiroshima, and the sarcophagus, which is the covering over"
2458,adjudicated,1,"The urban explosion of the last years of economic boom also produced dramatic marginalization, resulting in the explosion of slums in many parts of the world. This polarization of enclaves of mega-wealth surrounded by sectors of poverty and the socioeconomic inequalities they have engendered is really at the center of today's urban crisis. But I want to begin tonight by suggesting that this urban crisis is not only economic or environmental. It's particularly a cultural crisis, a crisis of the institutions unable to reimagine the stupid ways which we have been growing, unable to challenge the oil-hungry, selfish urbanization that"
2452,adjudicated,1,"In 2007, I became the attorney general of the state of New Jersey. Before that, I'd been a criminal prosecutor, first in the Manhattan district attorney's office, and then at the United States Department of Justice.But when I became the attorney general, two things happened that changed the way I see criminal justice. The first is that I asked what I thought were really basic questions. I wanted to understand who we were arresting, who we were charging, and who we were putting in our nation's jails and prisons. I also wanted to understand if we were making decisions in"
1902,adjudicated,2,"So I'm a doctor, but I kind of slipped sideways into research, and now I'm an epidemiologist. And nobody really knows what epidemiology is. Epidemiology is the science of how we know in the real world if something is good for you or bad for you. And it's best understood through example as the science of those crazy, wacky newspaper headlines. And these are just some of the examples.These are from the Daily Mail. Every country in the world has a newspaper like this. It has this bizarre, ongoing philosophical project of dividing all the inanimate objects in the world"
2747,adjudicated,1,"The FBI is responsible for more terrorism plots in the United States than any other organization. More than al Qaeda, more than al Shabaab, more than the Islamic State, more than all of them combined.This isn't likely how you think about the FBI. You probably think of FBI agents gunning down bad guys like John Dillinger, or arresting corrupt politicians.After the 9/11 terrorist attacks, the FBI became less concerned with gangsters and crooked elected officials. The new target became terrorists, and the pursuit of terrorists has consumed the FBI.Every year, the Bureau spends 3.3 billion dollars on domestic counterterrorism activities."
2528,adjudicated,3,"I'm assuming everyone here has watched a TED Talk online at one time or another, right? So what I'm going to do is play this. This is the song from the TED Talks online. (Music) And I'm going to slow it down because things sound cooler when they're slower. (Music) Ken Robinson: Good morning. How are you? Mark Applebaum: I'm going to — Kate Stone: — mix some music. MA: I'm going to do so in a way that tells a story. Tod Machover: Something nobody's ever heard before. KS: I have a crossfader. Julian Treasure: I call this the"
